,study ID,vaccine,dose,VE,LCL,UCL,days_since_first_dose,population_category,outcome_category,variant_sequenced,time_sup,time_inf
2044,234,Ad5-nCOV (CanSino),final,74.0,38,89.0,14,childcare workers,severe,,14,14
2045,234,Ad5-nCOV (CanSino),final,94.0,67,99.0,14,childcare workers,death,,14,14
2046,235,Pfizer,final,70.3,69.2,71.3,67,18-64 years,infection,,120,14
2047,235,Pfizer,final,0.6,-2.3,3.4,240,18-64 years,infection,,240,240
2048,235,Pfizer,final,82.6,80.1,84.7,67,18-64 years,severe,,120,14
2049,235,Pfizer,final,69.6,64.9,73.6,240,18-64 years,severe,,240,240
2050,235,Pfizer,final,87.4,81.5,91.5,67,18-64 years,death,,120,14
2051,235,Pfizer,final,73.6,61.1,82.1,240,18-64 years,death,,240,240
2052,235,Moderna,final,76.9,73.3,80.0,67,18-64 years,infection,,120,14
2053,235,Moderna,final,22.6,6.1,36.2,240,18-64 years,infection,,240,240
2054,235,Moderna,final,84.9,75.4,90.8,67,18-64 years,severe,,120,14
2055,235,Moderna,final,42.5,-4,68.2,240,18-64 years,severe,,240,240
2056,235,Moderna,final,77.7,30.7,92.8,67,18-64 years,death,,120,14
2057,235,Moderna,final,100.0,,,240,18-64 years,death,,240,240
2058,235,AZD1222 (AstraZeneca),final,39.2,36.4,41.9,67,18-64 years,infection,,120,14
2059,235,AZD1222 (AstraZeneca),final,-14.0,-20.5,-7.9,240,18-64 years,infection,,240,240
2060,235,AZD1222 (AstraZeneca),final,76.2,70.6,80.7,67,18-64 years,severe,,120,14
2061,235,AZD1222 (AstraZeneca),final,48.8,38.2,57.6,240,18-64 years,severe,,240,240
2062,235,AZD1222 (AstraZeneca),final,90.1,73.5,96.3,67,18-64 years,death,,120,14
2063,235,AZD1222 (AstraZeneca),final,57.1,35.2,71.6,240,18-64 years,death,,240,240
2064,235,Sputnik V (Gamaleya),final,38.3,31.8,44.3,67,18-64 years,infection,,120,14
2065,235,Sputnik V (Gamaleya),final,-4.6,-12.5,2.9,240,18-64 years,infection,,240,240
2066,235,Sputnik V (Gamaleya),final,90.4,78.5,95.7,67,18-64 years,severe,,120,14
2067,235,Sputnik V (Gamaleya),final,78.7,69.1,85.4,240,18-64 years,severe,,240,240
2068,235,Sputnik V (Gamaleya),final,89.3,79.9,94.3,150,18-64 years,death,,180,121
2069,235,Sputnik V (Gamaleya),final,79.1,59.8,89.2,240,18-64 years,death,,240,240
2070,235,Janssen,final,39.3,36.1,42.4,67,18-64 years,infection,,120,14
2071,235,Janssen,final,35.9,32.5,39.2,210,18-64 years,infection,,240,181
2072,235,Janssen,final,43.2,32.9,52.0,67,18-64 years,severe,,120,14
2073,235,Janssen,final,59.4,50.1,67.0,210,18-64 years,severe,,240,181
2074,235,Janssen,final,59.8,35.2,75.1,67,18-64 years,death,,120,14
2075,235,Janssen,final,76.1,56.7,86.8,210,18-64 years,death,,240,181
2076,235,BBIBP-CorV (Beijing CNBG),final,10.9,6.7,15.0,67,18-64 years,infection,,120,14
2077,235,BBIBP-CorV (Beijing CNBG),final,-19.9,-31.9,-9.0,240,18-64 years,infection,,240,240
2078,235,BBIBP-CorV (Beijing CNBG),final,53.8,43.9,61.9,67,18-64 years,severe,,120,14
2079,235,BBIBP-CorV (Beijing CNBG),final,40.9,24.4,53.8,240,18-64 years,severe,,240,240
2080,235,BBIBP-CorV (Beijing CNBG),final,67.4,39.2,82.5,67,18-64 years,death,,120,14
2081,235,BBIBP-CorV (Beijing CNBG),final,50.7,21.4,69.1,240,18-64 years,death,,240,240
2082,236,Pfizer,final,39.8,38.4,41.2,22,12-59 years,infection,,30,14
2083,236,Pfizer,final,13.2,12.5,13.9,120,12-59 years,infection,,120,120
2084,236,Pfizer,final,62.4,46.3,73.6,22,12-59 years,severe,,30,14
2085,236,Pfizer,final,65.9,62,69.4,120,12-59 years,severe,,120,120
2086,236,Pfizer,final,92.2,91.8,92.6,22,12-59 years,infection,,30,14
2087,236,Pfizer,final,64.9,64,65.8,120,12-59 years,infection,,120,120
2088,236,Pfizer,final,99.1,98,99.6,22,12-59 years,severe,,30,14
2089,236,Pfizer,final,91.6,89.5,93.2,120,12-59 years,severe,,120,120
2090,236,Pfizer,final,39.9,26.4,50.9,22,≥ 60 years,infection,,30,14
2091,236,Pfizer,final,4.7,0.2,8.9,120,≥ 60 years,infection,,120,120
2092,236,Pfizer,final,82.2,75.3,87.1,22,≥ 60 years,infection,,30,14
2093,236,Pfizer,final,49.8,46.5,52.8,120,≥ 60 years,infection,,120,120
2094,236,Pfizer,final,97.7,95.2,98.9,45,≥ 60 years,severe,,60,31
2095,236,Pfizer,final,86.2,84.2,87.9,120,≥ 60 years,severe,,120,120
2096,236,Pfizer,final,91.0,88.5,92.9,22,≥ 60 years,infection,,30,14
2097,236,Pfizer,final,71.5,54.7,82.1,120,≥ 60 years,infection,,120,120
2098,236,Pfizer,final,96.4,92.6,98.3,22,≥ 60 years,severe,,30,14
2099,236,Pfizer,final,90.5,67,97.2,120,≥ 60 years,severe,,120,120
2100,237,Pfizer,final,28.5,20,36.2,77,general pop,infection,omicron,140,14
2101,237,Pfizer,final,15.3,10.4,20.0,150,general pop,infection,omicron,150,150
2102,237,Pfizer,final,36.1,7.1,56.1,77,general pop,infection,omicron,140,14
2103,237,Pfizer,final,34.0,18.5,46.5,150,general pop,infection,omicron,150,150
2104,237,Pfizer,final,30.7,20.6,39.6,77,general pop,infection,omicron,140,14
2105,237,Pfizer,final,20.0,14,25.6,150,general pop,infection,omicron,150,150
2106,237,Pfizer,final,14.3,-43.1,48.7,77,general pop,infection,omicron,140,14
2107,237,Pfizer,final,18.8,-9,39.5,150,general pop,infection,omicron,150,150
2108,238,Pfizer,final,11.2,0,61.1,14,LTCF residents,infection,delta,14,14
2109,238,Pfizer,final,88.4,59.9,96.7,14,LTCF residents,symptomatic,delta,14,14
2110,238,Pfizer,final,93.5,67.2,98.7,14,LTCF residents,severe,delta,14,14
2111,239,Pfizer,final,82.0,78,85.0,7,individuals with rheumatoid arthritis,infection,,7,7
2112,239,Moderna,final,86.0,80,90.0,7,individuals with rheumatoid arthritis,infection,,7,7
2113,239,Pfizer,final,83.0,80,86.0,7,individuals with rheumatoid arthritis,infection,,7,7
2114,239,Pfizer,final,92.0,88,95.0,7,individuals with rheumatoid arthritis,severe,,7,7
2115,239,Pfizer,final,88.0,82,93.0,7,individuals with ankylosing spondylitis,infection,,7,7
2116,239,Moderna,final,93.0,83,97.0,7,individuals with ankylosing spondylitis,infection,,7,7
2117,239,Pfizer,final,89.0,83,93.0,7,individuals with ankylosing spondylitis,infection,,7,7
2118,239,Pfizer,final,97.0,83,99.0,7,individuals with ankylosing spondylitis,severe,,7,7
2119,239,Pfizer,final,82.0,79,85.0,7,individuals with psoriasis,infection,,7,7
2120,239,Moderna,final,87.0,82,91.0,7,individuals with psoriasis,infection,,7,7
2121,239,Pfizer,final,84.0,81,86.0,7,individuals with psoriasis,infection,,7,7
2122,239,Pfizer,final,92.0,86,95.0,7,individuals with psoriasis,severe,,7,7
2123,239,Pfizer,final,82.0,79,85.0,7,individuals with inflammatory bowel disease,infection,,7,7
2124,239,Moderna,final,87.0,82,91.0,7,individuals with inflammatory bowel disease,infection,,7,7
2125,239,Pfizer,final,79.0,74,82.0,7,individuals with inflammatory bowel disease,infection,,7,7
2126,239,Pfizer,final,94.0,88,97.0,7,individuals with inflammatory bowel disease,severe,,7,7
2127,240,Pfizer,final,49.2,48.5,49.9,36,general pop,symptomatic,,59,14
2128,240,Pfizer,final,9.6,8.1,11.0,150,general pop,symptomatic,,150,150
2129,240,Pfizer,final,82.9,80.6,85.0,36,general pop,severe,,59,14
2130,240,Pfizer,final,82.6,80.7,84.3,150,general pop,severe,,150,150
2131,240,AZD1222 (AstraZeneca),final,26.7,25.2,28.2,36,general pop,symptomatic,,59,14
2132,240,AZD1222 (AstraZeneca),final,0.9,0,1.9,150,general pop,symptomatic,,150,150
2133,240,AZD1222 (AstraZeneca),final,77.1,72.9,80.6,36,general pop,severe,,59,14
2134,240,AZD1222 (AstraZeneca),final,67.8,66.7,69.0,150,general pop,severe,,150,150
2135,240,Pfizer,final,57.7,54.5,60.6,36,general pop,symptomatic,,59,14
2136,240,Pfizer,final,17.8,15.1,20.5,150,general pop,symptomatic,,150,150
2137,240,Pfizer,final,90.4,30.4,98.7,36,general pop,severe,,59,14
2138,240,Pfizer,final,72.9,57.9,82.5,150,general pop,severe,,150,150
2139,240,AZD1222 (AstraZeneca),final,40.7,26.6,52.1,36,general pop,symptomatic,,59,14
2140,240,AZD1222 (AstraZeneca),final,9.6,6.3,12.9,150,general pop,symptomatic,,150,150
2141,240,AZD1222 (AstraZeneca),final,78.8,31.8,93.4,104,general pop,severe,,149,60
2142,240,AZD1222 (AstraZeneca),final,52.8,33.3,66.7,150,general pop,severe,,150,150
2143,241,Pfizer,final,81.0,59.9,90.1,14,12-17 years,severe,,14,14
2144,241,BBIBP-CorV (Beijing CNBG),final,83.4,70.9,90.2,14,3-11 years,severe,,14,14
2145,241,Pfizer,final,78.2,42,90.3,14,12-17 years,severe,,14,14
2146,241,BBIBP-CorV (Beijing CNBG),final,58.6,4.1,79.7,14,3-11 years,severe,,14,14
2147,242,Pfizer,final,87.6,86.2,88.9,14,military personnel,infection,,14,14
2148,242,Pfizer,final,80.3,76.5,83.5,14,military personnel,asymptomatic,,14,14
2149,242,Pfizer,final,89.9,88.4,91.2,14,military personnel,symptomatic,,14,14
2150,242,Pfizer,final,88.0,75.4,94.1,14,military personnel,severe,,14,14
2151,242,Moderna,final,93.5,91.9,94.7,14,military personnel,infection,,14,14
2152,242,Moderna,final,94.7,91.9,96.6,14,military personnel,asymptomatic,,14,14
2153,242,Moderna,final,93.1,91.2,94.6,14,military personnel,symptomatic,,14,14
2154,242,Moderna,final,89.6,57.5,97.4,14,military personnel,severe,,14,14
2155,242,Janssen,final,81.8,74.2,87.1,14,military personnel,infection,,14,14
2156,242,Janssen,final,81.4,62.6,90.8,14,military personnel,asymptomatic,,14,14
2157,242,Janssen,final,82.4,73.9,88.2,14,military personnel,symptomatic,,14,14
2158,242,Pfizer,final,69.3,68.2,70.3,14,military personnel,infection,,14,14
2159,242,Pfizer,final,66.0,64,67.8,14,military personnel,asymptomatic,,14,14
2160,242,Pfizer,final,71.0,69.7,72.1,14,military personnel,symptomatic,,14,14
2161,242,Pfizer,final,88.4,82.1,92.5,14,military personnel,severe,,14,14
2162,242,Moderna,final,79.4,78.3,80.4,14,military personnel,infection,,14,14
2163,242,Moderna,final,77.0,75.1,78.8,14,military personnel,asymptomatic,,14,14
2164,242,Moderna,final,80.6,79.4,81.8,14,military personnel,symptomatic,,14,14
2165,242,Moderna,final,88.1,75.7,94.2,14,military personnel,severe,,14,14
2166,242,Janssen,final,38.3,34.5,41.9,14,military personnel,infection,,14,14
2167,242,Janssen,final,19.6,12.2,26.4,14,military personnel,asymptomatic,,14,14
2168,242,Janssen,final,48.9,45,52.7,14,military personnel,symptomatic,,14,14
2169,242,Janssen,final,57.7,2.6,81.6,14,military personnel,severe,,14,14
2170,243,Pfizer,final,43.0,41,45.0,15,general pop,symptomatic,omicron,30,0
2171,243,Pfizer,final,11.0,10,13.0,180,general pop,symptomatic,omicron,180,180
2172,243,Pfizer,final,59.0,49,70.0,15,general pop,severe,omicron,30,0
2173,243,Pfizer,final,56.0,51,62.0,180,general pop,severe,omicron,180,180
2174,243,Pfizer,final,70.0,40,97.0,15,general pop,severe,omicron,30,0
2175,243,Pfizer,final,72.0,63,81.0,180,general pop,severe,omicron,180,180
2176,243,Pfizer,final,60.0,24,92.0,15,general pop,death,omicron,30,0
2177,243,Pfizer,final,54.0,41,69.0,180,general pop,death,omicron,180,180
2178,243,Pfizer,final,78.0,77,80.0,15,general pop,symptomatic,delta,30,0
2179,243,Pfizer,final,63.0,62,64.0,180,general pop,symptomatic,delta,180,180
2180,243,Pfizer,final,91.0,87,95.0,15,general pop,severe,delta,30,0
2181,243,Pfizer,final,90.0,89,91.0,180,general pop,severe,delta,180,180
2182,243,Pfizer,final,93.0,86,99.0,15,general pop,severe,delta,30,0
2183,243,Pfizer,final,95.0,93,97.0,180,general pop,severe,delta,180,180
2184,243,Pfizer,final,90.0,79,100.0,15,general pop,death,delta,30,0
2185,243,Pfizer,final,87.0,83,91.0,180,general pop,death,delta,180,180
2186,244,Pfizer,final,25.3,21.8,28.7,14,veterans,infection,,14,14
2187,244,Pfizer,final,52.9,47.8,57.6,14,veterans,severe,,14,14
2188,244,Pfizer,final,50.7,37.9,61.6,14,veterans,death,,14,14
2189,244,Moderna,final,39.5,35.8,43.0,14,veterans,infection,,14,14
2190,244,Moderna,final,66.7,61.4,71.6,14,veterans,severe,,14,14
2191,244,Moderna,final,65.6,52.8,76.3,14,veterans,death,,14,14
2192,246,CoronaVac (Sinovac),final,39.8,33.7,45.4,14,6-11 years,symptomatic,,14,14
2193,246,CoronaVac (Sinovac),final,59.2,11.3,84.5,14,6-11 years,severe,,14,14
2194,247,AZD1222 (AstraZeneca),final,8.0,6,9.9,175,40-64 years,symptomatic,omicron,175,175
2195,247,AZD1222 (AstraZeneca),final,19.5,11.7,26.6,175,40-64 years,symptomatic,omicron,175,175
2196,247,AZD1222 (AstraZeneca),final,61.0,49.8,69.7,175,≥ 65 years,severe,omicron,175,175
2197,247,AZD1222 (AstraZeneca),final,73.4,70.4,76.2,175,≥ 65 years,severe,delta,175,175
2198,248,Pfizer,final,42.0,41,44.0,7,general pop,infection,,7,7
2199,248,Pfizer,final,76.0,74,78.0,7,general pop,severe,,7,7
2200,248,Pfizer,final,23.2,21.2,27.4,7,general pop,infection,,7,7
2201,248,Pfizer,final,68.4,63.6,73.5,7,general pop,severe,,7,7
2202,249,BBIBP-CorV (Beijing CNBG),final,75.5,63,93.6,14,close contacts,symptomatic,,14,14
2203,249,BBIBP-CorV (Beijing CNBG),final,56.5,-95.9,90.4,14,close contacts,severe,,14,14
2204,249,CoronaVac (Sinovac),final,73.0,22.3,96.0,14,close contacts,symptomatic,,14,14
2205,249,CoronaVac (Sinovac),final,84.6,18.8,97.1,14,close contacts,severe,,14,14
2206,249,Ad5-nCOV (CanSino),final,61.5,9.5,83.6,14,close contacts,symptomatic,,14,14
2207,249,Ad5-nCOV (CanSino),final,67.9,1.7,89.9,14,close contacts,severe,,14,14
2208,249,Ad5-nCOV (CanSino),final,100.0,,,14,close contacts,severe,,14,14
2209,250,Pfizer,final,2.1,-21.2,21.0,14,students 18-64 years,infection,,14,14
2210,250,Moderna,final,17.3,-10.8,38.3,14,students 18-64 years,infection,,14,14
2211,250,Pfizer,final,30.1,-24.5,60.8,14,employees 18-65 years,infection,,14,14
2212,250,Moderna,final,14.4,-64.2,55.4,14,employees 18-65 years,infection,,14,14
2213,251,Janssen,final,63.6,33.6,80.5,14,18+ years in a correctional facility,infection,,14,14
2214,251,Janssen,final,73.0,41.6,87.7,14,18+ years in a correctional facility,symptomatic,,14,14
2215,251,AZD1222 (AstraZeneca),final,89.4,59.5,97.8,14,18+ years in a correctional facility,infection,,14,14
2216,251,AZD1222 (AstraZeneca),final,85.1,19.5,98.0,14,18+ years in a correctional facility,symptomatic,,14,14
2217,252,Pfizer,final,45.6,12.4,67.6,14,transplant recipients,infection,,14,14
2218,253,Pfizer,final,24.0,23,25.0,14,general pop,infection,,14,14
2219,253,Pfizer,final,86.0,84,88.0,14,general pop,severe,,14,14
2220,253,Pfizer,final,92.0,90,94.0,14,general pop,death,,14,14
2221,253,Moderna,final,32.0,31,34.0,14,general pop,infection,,14,14
2222,253,Moderna,final,90.0,86,93.0,14,general pop,severe,,14,14
2223,253,Moderna,final,96.0,92,98.0,14,general pop,death,,14,14
2224,253,AZD1222 (AstraZeneca),final,4.0,1,6.0,14,general pop,infection,,14,14
2225,253,AZD1222 (AstraZeneca),final,93.0,92,95.0,14,general pop,severe,,14,14
2226,253,AZD1222 (AstraZeneca),final,98.0,96,99.0,14,general pop,death,,14,14
2227,253,Janssen,final,12.0,7,17.0,14,general pop,infection,,14,14
2228,253,Janssen,final,87.0,73,94.0,14,general pop,severe,,14,14
2229,254,Pfizer,final,72.0,70,74.0,32,contacts of index cases among women aged 45-64,infection,,57,7
2230,254,Moderna,final,82.0,79,84.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2231,254,Janssen,final,38.0,34,44.0,46,contacts of index cases among women aged 45-64,infection,,71,21
2232,254,AZD1222 (AstraZeneca),final,56.0,51,59.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2233,254,Pfizer,final,64.0,63,66.0,32,contacts of index cases among women aged 45-64,infection,,57,7
2234,254,Pfizer,final,44.0,43,44.0,182,contacts of index cases among women aged 45-64,infection,,207,157
2235,254,Moderna,final,75.0,71,77.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2236,254,Moderna,final,56.0,55,58.0,189,contacts of index cases among women aged 45-64,infection,,214,164
2237,254,Janssen,final,33.0,28,38.0,46,contacts of index cases among women aged 45-64,infection,,71,21
2238,254,Janssen,final,22.0,19,25.0,196,contacts of index cases among women aged 45-64,infection,,221,171
2239,254,AZD1222 (AstraZeneca),final,49.0,45,52.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2240,254,AZD1222 (AstraZeneca),final,35.0,33,37.0,189,contacts of index cases among women aged 45-64,infection,,214,164
2241,254,Pfizer,final,87.0,84,88.0,32,contacts of index cases among women aged 45-64,infection,,57,7
2242,254,Pfizer,final,82.0,81,83.0,182,contacts of index cases among women aged 45-64,infection,,207,157
2243,254,Moderna,final,87.0,83,92.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2244,254,Moderna,final,85.0,80,89.0,189,contacts of index cases among women aged 45-64,infection,,214,164
2245,254,Janssen,final,88.0,85,91.0,46,contacts of index cases among women aged 45-64,infection,,71,21
2246,254,Janssen,final,87.0,84,89.0,196,contacts of index cases among women aged 45-64,infection,,221,171
2247,254,AZD1222 (AstraZeneca),final,88.0,84,94.0,39,contacts of index cases among women aged 45-64,infection,,64,14
2248,254,AZD1222 (AstraZeneca),final,83.0,81,85.0,189,contacts of index cases among women aged 45-64,infection,,214,164
2249,255,Pfizer,final,82.3,75.1,87.4,14,HCW,infection,,14,14
2250,255,Pfizer,final,76.5,40.9,90.6,14,HCW,infection,,14,14
2251,256,Pfizer,final,88.0,86,90.0,96,hospitalized adults,severe,,179,14
2252,256,Pfizer,final,79.0,74,83.0,180,hospitalized adults,severe,,180,180
2253,256,Moderna,final,93.0,91,94.0,96,hospitalized adults,severe,,179,14
2254,256,Moderna,final,87.0,83,90.0,180,hospitalized adults,severe,,180,180
2255,256,Pfizer,final,90.0,88,91.0,96,general pop,severe,,179,14
2256,256,Pfizer,final,82.0,79,85.0,180,general pop,severe,,180,180
2257,256,Pfizer,final,63.0,55,69.0,14,immunocompromised adults,severe,,14,14
2258,256,Pfizer,final,65.0,57,72.0,96,immunocompromised adults,severe,,179,14
2259,256,Pfizer,final,53.0,38,65.0,180,immunocompromised adults,severe,,180,180
2260,256,Pfizer,final,90.0,88,91.0,96,hospitalized adults,severe,,179,14
2261,256,Pfizer,final,83.0,80,86.0,180,hospitalized adults,severe,,180,180
2262,257,Pfizer,final,70.9,69.3,72.4,42,general pop,infection,,44,40
2263,257,Pfizer,final,22.7,18.5,26.8,200,general pop,infection,,200,200
2264,257,AZD1222 (AstraZeneca),final,76.3,71.9,80.0,42,general pop,infection,,44,40
2265,257,AZD1222 (AstraZeneca),final,3.8,0,9.2,125,general pop,infection,,125,125
2266,257,Janssen,final,39.4,28.3,48.8,42,general pop,infection,,44,40
2267,257,Janssen,final,2.5,0,9.1,150,general pop,infection,,150,150
2268,257,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,81.6,75.3,86.3,42,general pop,infection,,44,40
2269,257,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,3.1,0,12.0,125,general pop,infection,,125,125
2270,258,Pfizer,final,62.0,46,73.0,20,LTCF residents,infection,,34,7
2271,258,Pfizer,final,47.0,32,58.0,147,LTCF residents,infection,,147,147
2272,258,Pfizer,final,86.0,67,94.0,20,LTCF residents,death,,34,7
2273,258,Pfizer,final,69.0,51,80.0,147,LTCF residents,death,,147,147
2274,258,AZD1222 (AstraZeneca),final,61.0,40,74.0,20,LTCF residents,infection,,34,7
2275,258,AZD1222 (AstraZeneca),final,29.0,10,43.0,147,LTCF residents,infection,,147,147
2276,258,AZD1222 (AstraZeneca),final,83.0,58,94.0,20,LTCF residents,death,,34,7
2277,258,AZD1222 (AstraZeneca),final,56.0,33,70.0,147,LTCF residents,death,,147,147
2278,258,Pfizer,final,79.0,15,95.0,20,LTCF residents,infection,,34,7
2279,258,Pfizer,final,80.0,43,93.0,147,LTCF residents,infection,,147,147
2280,258,AZD1222 (AstraZeneca),final,37.0,-50,73.0,20,LTCF residents,infection,,34,7
2281,258,AZD1222 (AstraZeneca),final,65.0,14,86.0,147,LTCF residents,infection,,147,147
2282,259,Covishield,final,98.0,85,99.8,14,general pop,infection,,14,14
2283,259,Covishield,final,99.0,90,99.8,14,general pop,severe,,14,14
2284,260,Pfizer,final,58.3,54.6,61.5,24,5-10 years,infection,,35,14
2285,261,Pfizer,final,18.6,7.7,28.1,14,prison residents,infection,,14,14
2286,261,Pfizer,final,40.1,34,45.6,14,prison staff,infection,,14,14
2287,261,Pfizer,final,51.2,41.5,59.2,14,prison residents,infection,,14,14
2288,261,Pfizer,final,55.8,49.6,61.2,14,prison staff,infection,,14,14
2289,261,Pfizer,final,68.7,38.5,84.1,14,prison residents,infection,,14,14
2290,261,Pfizer,final,83.2,77.7,87.4,14,prison staff,infection,,14,14
2291,261,Pfizer,final,14.9,12.3,19.7,14,prison residents and staff,infection,,14,14
2292,261,Pfizer,final,47.8,46.6,52.8,14,prison residents and staff,infection,,14,14
2293,261,Pfizer,final,73.1,69.8,80.1,14,prison residents and staff,infection,,14,14
2294,262,Pfizer,final,30.0,17,41.0,14,newborns,infection during an infant's first 4 months of life,,14,14
2295,262,Pfizer,final,71.0,56,81.0,14,newborns,infection during an infant's first 4 months of life,,14,14
2296,263,Pfizer,final,6.0,-5,15.0,0,LTCF residents,infection,omicron,0,0
2297,263,Pfizer,final,23.0,1,40.0,0,LTCF residents,symptomatic,omicron,0,0
2298,263,Pfizer,final,52.0,33,65.0,0,LTCF residents,severe,omicron,0,0
2299,264,Pfizer,final,81.0,79.7,82.3,14,12-17 years,infection,,14,14
2300,264,Pfizer,final,78.3,66.7,86.5,14,12-17 years,infection,,14,14
2301,265,Pfizer,final,41.0,-17,87.0,14,HCW,symptomatic,,14,14
2302,265,Moderna,final,5.0,-69,47.0,14,HCW,symptomatic,,14,14
2303,265,Pfizer,final,75.0,52,87.0,14,HCW,symptomatic,,14,14
2304,265,Moderna,final,73.0,56,84.0,14,HCW,symptomatic,,14,14
2305,266,Moderna,final,92.6,80.5,97.2,7,general pop,symptomatic,,2,12
2306,266,Moderna,final,89.6,41.7,98.2,87,general pop,symptomatic,,2,172
2307,267,Janssen,final,70.0,63,75.0,14,general pop,severe,,14,14
2308,267,Janssen,final,73.0,60,82.0,52,general pop,severe,,90,14
2309,267,Janssen,final,70.0,54,81.0,180,general pop,severe,,180,180
2310,267,Janssen,final,55.0,31,72.0,14,immunocompromised adults,severe,,14,14
2311,267,Janssen,final,68.0,43,83.0,14,general pop,severe,,14,14
2312,267,Janssen,final,72.0,64,78.0,14,general pop,severe,,14,14
2313,268,Pfizer,final,91.0,80,96.0,14,≥ 65 years,severe,,14,14
2314,269,Pfizer,final,94.0,88,97.0,14,≥ 30 years,severe,,14,14
2315,269,Pfizer,final,82.0,76,87.0,14,≥ 30 years,severe,,14,14
2316,269,AZD1222 (AstraZeneca),final,79.0,69,86.0,14,≥ 30 years,severe,,14,14
2317,270,BBIBP-CorV (Beijing CNBG),final,97.3,95.7,98.3,14,general pop,severe,,14,14
2318,270,BBIBP-CorV (Beijing CNBG),final,98.8,95.3,99.7,14,general pop,severe,,14,14
2319,270,BBIBP-CorV (Beijing CNBG),final,100.0,100,100.0,14,general pop,death,,14,14
2320,270,BBIBP-CorV (Beijing CNBG),final,73.3,70.6,75.7,14,general pop,severe,,14,14
2321,270,BBIBP-CorV (Beijing CNBG),final,79.1,73.1,83.7,14,general pop,severe,,14,14
2322,270,BBIBP-CorV (Beijing CNBG),final,81.9,66.9,90.1,14,general pop,death,,14,14
2323,270,BBIBP-CorV (Beijing CNBG),final,34.6,14.2,50.2,14,general pop,severe,,14,14
2324,270,BBIBP-CorV (Beijing CNBG),final,49.6,0,76.4,14,general pop,severe,,14,14
2325,270,BBIBP-CorV (Beijing CNBG),final,62.5,31.4,79.5,14,general pop,death,,14,14
2326,271,Pfizer,final,88.0,62,96.0,20,HCW,severe,,27,14
2327,271,Pfizer,final,67.0,63,71.0,177,HCW,severe,,207,148
2328,271,Pfizer,final,69.0,56,79.0,20,HCW,severe,,27,14
2329,271,Pfizer,final,71.0,65,76.0,177,HCW,severe,,207,148
2330,272,Pfizer,final,36.0,21,48.0,14,general pop,severe,"omicron BA.1, BA.2, BA.5",14,14
2331,272,Moderna,final,41.0,25,54.0,14,general pop,severe,"omicron BA.1, BA.2, BA.5",14,14
2332,272,Janssen,final,32.0,9,62.0,14,general pop,severe,"omicron BA.1, BA.2, BA.5",14,14
2333,273,Pfizer,final,1.0,55.9,81.8,14,SNF employees,infection,,14,14
2334,273,Pfizer,final,32.0,1,54.0,14,SNF employees,infection,,14,14
2335,274,Pfizer,final,65.0,25,84.0,14,SNF residents,infection,,14,14
2336,275,Pfizer,final,35.0,27,42.0,14,HCW,infection,omicron BA.2,14,14
2337,275,Pfizer,final,61.0,52,69.0,14,HCW,symptomatic,omicron BA.2,14,14
2338,276,Pfizer,final,51.0,39,61.0,14,5-11 years,infection,,21,7
2339,276,Pfizer,final,48.0,29,63.0,14,5-11 years,symptomatic,,21,7
2340,277,Pfizer,final,41.9,37.7,45.8,14,12-17 years,infection,,14,14
2341,277,Pfizer,final,75.6,65.8,82.6,20,12-17 years,infection,,27,14
2342,277,Pfizer,final,33.9,27.4,39.9,181,12-17 years,infection,,195,168
2343,277,Pfizer,final,55.2,49.5,60.3,14,12-17 years,symptomatic,,14,14
2344,277,Pfizer,final,82.8,81,94.4,14,12-17 years,infection,,14,14
2345,277,Pfizer,final,83.1,68.9,90.8,20,12-17 years,infection,,27,14
2346,277,Pfizer,final,75.4,72.1,78.4,153,12-17 years,infection,,167,140
2347,277,Pfizer,final,87.9,86.1,89.5,14,12-17 years,symptomatic,,14,14
2348,277,Pfizer,final,95.5,95,96.0,14,12-17 years,infection,,14,14
2349,277,Pfizer,final,97.7,96.2,98.6,20,12-17 years,infection,,27,14
2350,277,Pfizer,final,92.4,90.4,94.0,125,12-17 years,infection,,139,112
2351,277,Pfizer,final,97.3,96.8,97.7,14,12-17 years,symptomatic,,14,14
2352,277,Pfizer,final,33.9,25.7,41.1,14,12-17 years,infection,,14,14
2353,277,Pfizer,final,63.4,21.4,83.0,20,12-17 years,infection,,27,14
2354,277,Pfizer,final,22.2,8.4,33.9,181,12-17 years,infection,,195,168
2355,277,Pfizer,final,88.0,85.1,90.3,14,12-17 years,infection,,14,14
2356,277,Pfizer,final,94.8,83.7,98.4,41,12-17 years,infection,,55,28
2357,277,Pfizer,final,84.2,77.8,88.8,153,12-17 years,infection,,167,140
2358,277,Pfizer,final,95.7,95.1,96.2,14,12-17 years,infection,,14,14
2359,277,Pfizer,final,96.8,94.4,98.2,20,12-17 years,infection,,27,14
2360,277,Pfizer,final,90.9,87.7,93.2,125,12-17 years,infection,,139,112
2361,278,Pfizer,final,54.0,38,65.0,180,general pop,severe,omicron BA.1,180,180
