Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,notes,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,infection,infection,Singapore,≥ 30 years,≥ 30 years,31.7,30.0,33.4,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,infection,infection,Singapore,≥ 30 years,≥ 30 years,-2.8,-5.4,0.3,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,85.2,80.2,88.9,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,87.3,84.2,89.8,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,infection,infection,Singapore,≥ 30 years,≥ 30 years,41.3,39.4,43.1,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,infection,infection,Singapore,≥ 30 years,≥ 30 years,14.6,11.0,18.0,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,97.5,89.7,99.4,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,89.0,78.9,94.2,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,infection,infection,Singapore,≥ 30 years,≥ 30 years,34.9,33.0,36.8,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,infection,infection,Singapore,≥ 30 years,≥ 30 years,3.69,0.03,7.21,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,87.3,72.8,94.1,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,BNT162b2 (Pfizer),Moderna,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,84.4,73.4,90.9,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,infection,infection,Singapore,≥ 30 years,≥ 30 years,35.6,32.8,38.3,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,infection,infection,Singapore,≥ 30 years,≥ 30 years,9.70,2.70,16.3,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,15-60,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,100.0,-inf,100.0,,omicron,~45 weeks,,,,,
119,Ng,Retrospective cohort,26Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,121-330,severe disease,severe,Singapore,≥ 30 years,≥ 30 years,86.3,44.7,96.6,,omicron,~45 weeks,,,,,
120,Cocchio,Retrospective cohort,20Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,14-34,infection,infection,Italy,12-17 years,12-17 years,72.0,70.0,73.0,,omicron,~16 weeks,,,,,
120,Cocchio,Retrospective cohort,20Aug2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,35-69,infection,infection,Italy,12-17 years,12-17 years,30.0,27.0,33.0,,omicron,~16 weeks,,,,,
120,Cocchio,Retrospective cohort,20Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,14-34,infection,infection,Italy,12-17 years,12-17 years,71.0,66.0,74.0,,omicron,~16 weeks,,,,,
120,Cocchio,Retrospective cohort,20Aug2022,mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,35-69,infection,infection,Italy,12-17 years,12-17 years,32.0,26.0,38.0,,omicron,~16 weeks,,,,,
121,Suphanchaimat,Test-negative case-control,05Jul2022,CoronaVac (Sinovac),AZD1222 (AstraZeneca),included,unvaccinated individuals,30-59,infection,infection,Thailand,≥ 18 years,general pop,99.1,93.6,99.9,,delta,~6 weeks,,,,,
121,Suphanchaimat,Test-negative case-control,05Jul2022,CoronaVac (Sinovac),AZD1222 (AstraZeneca),included,unvaccinated individuals,60-89,infection,infection,Thailand,≥ 18 years,general pop,97.9,91.4,99.5,,delta,~11 weeks,,,,,
121,Suphanchaimat,Test-negative case-control,05Jul2022,CoronaVac (Sinovac),Pfizer,included,unvaccinated individuals,15-29,infection,infection,Thailand,≥ 18 years,general pop,97.2,79.8,99.6,,delta,~2 weeks,,,,,
121,Suphanchaimat,Test-negative case-control,05Jul2022,CoronaVac (Sinovac),Pfizer,included,unvaccinated individuals,90+,infection,infection,Thailand,≥ 18 years,general pop,98.7,90.6,99.8,,delta,~19 weeks,,,,,
122,Barraza,Retrospective cohort,05Aug2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14+,hospitalization with SARI,severe,Chile,≥ 18 years,general pop,84.0,71.0,91.2,,"gamma, delta & omicron",~47 weeks,,,,,
122,Barraza,Retrospective cohort,05Aug2022,BNT162b2 (Pfizer) (3 doses),Pfizer,included,unvaccinated individuals,14+,hospitalization with SARI,severe,Chile,≥ 18 years,general pop,96.2,83.5,99.1,,"gamma, delta & omicron",~21 weeks,,,,,
122,Barraza,Retrospective cohort,05Aug2022,CoronaVac (Sinovac),CoronaVac (Sinovac),included,unvaccinated individuals,14+,hospitalization with SARI,severe,Chile,≥ 18 years,general pop,69.1,53.6,79.4,,"gamma, delta & omicron",~47 weeks,,,,,
123,Kim,Matched case-control,29Aug2022,AZD1222 (AstraZeneca),Pfizer,excluded,complete vaccination with 2 doses of AZD1222,14+,infection,infection,South Korea,HCW,HCW,48.3,30.0,72.5,,omicron,~15 weeks,,,,,
123,Kim,Matched case-control,29Aug2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,complete vaccination with 2 doses of any mRNA,14+,infection,infection,South Korea,HCW,HCW,53.1,13.2,74.7,,omicron,~15 weeks,,,,,
124,Huang,Matched case-control,09Sept2022,Ad5-nCoV (CanSino),Ad5-nCoV (CanSino),excluded,unvaccinated individuals,13-24 weeks,infection,infection,China,≥ 3 years,general pop,16.0,1.5,28.4,,omicron,23 weeks,,,,,
125,Mallah,Test-negative case-control,10Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,infection,infection,Spain,≥ 11 years,general pop,88.0,85.0,90.0,,alpha & delta,~5 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8+,symptomatic disease,symptomatic,Singapore,≥ 80 years,80+ years,22.2,19.6,24.7,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8-30,symptomatic disease,symptomatic,Singapore,≥ 80 years,80+ years,35.0,31.0,40.0,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,60+,symptomatic disease,symptomatic,Singapore,≥ 80 years,80+ years,16.0,12.0,20.0,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8+,hospitalization,severe,Singapore,≥ 80 years,80+ years,55.0,51.8,58.3,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8-30,hospitalization,severe,Singapore,≥ 80 years,80+ years,58.0,50.0,64.0,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,60+,hospitalization,severe,Singapore,≥ 80 years,80+ years,52.0,47.0,57.0,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8+,severe disease,severe,Singapore,≥ 80 years,80+ years,63.0,56.3,68.5,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,8-30,severe disease,severe,Singapore,≥ 80 years,80+ years,58.0,42.0,69.0,,omicron,~13 weeks,,,,,
126,Tan,Target trial emulation,13Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,60+,severe disease,severe,Singapore,≥ 80 years,80+ years,57.0,46.0,66.0,,omicron,~13 weeks,,,,,
127,Chatzilena,Test-negative case-control,07Dec2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,7+,hospitalization,severe,UK,≥ 18 years,general pop,30.9,6.0,50.0,,omicron,~42 weeks,,,,,
127,Chatzilena,Test-negative case-control,07Dec2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,≤3 months,hospitalization,severe,UK,≥ 18 years,general pop,31.0,-15.0,59.0,,omicron,~42 weeks,,,,,
127,Chatzilena,Test-negative case-control,07Dec2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,>3 months,hospitalization,severe,UK,≥ 18 years,general pop,33.9,8.0,52.0,,omicron,~42 weeks,,,,,
128,Collie,Test-negative case-control,14Sep2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14-27,hospitalization,severe,South Africa,≥ 18 years,general pop,81.6,68.1,89.4,,omicron BA.1 or BA.2,~23 weeks,,,,,
128,Collie,Test-negative case-control,14Sep2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,3-4 months,hospitalization,severe,South Africa,≥ 18 years,general pop,50.0,4.4,73.0,,omicron BA.1 or BA.2,~23 weeks,,,,,
128,Collie,Test-negative case-control,14Sep2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,1-2 months,hospitalization,severe,South Africa,≥ 18 years,general pop,68.8,59.5,76.0,,omicron BA.4 or BA.5,~23 weeks,,,,,
128,Collie,Test-negative case-control,14Sep2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,3-4 months,hospitalization,severe,South Africa,≥ 18 years,general pop,46.8,35.3,56.2,,omicron BA.4 or BA.5,~23 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7+,ED or UC encounters,symptomatic,USA,pregnant persons 18-49 years,pregnant persons,65.0,41.0,79.0,,omicron,~18 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7-119,ED or UC encounters,symptomatic,USA,pregnant persons 18-49 years,pregnant persons,79.0,59.0,89.0,,omicron,~15 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,120+,ED or UC encounters,symptomatic,USA,pregnant persons 18-49 years,pregnant persons,-124.0,-414.0,2.0,,omicron,~18 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7+,hospitalization,severe,USA,pregnant persons 18-49 years,pregnant persons,76.0,27.0,92.0,,omicron,~18 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7-119,hospitalization,severe,USA,pregnant persons 18-49 years,pregnant persons,86.0,28.0,97.0,,omicron,~15 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,120+,hospitalization,severe,USA,pregnant persons 18-49 years,pregnant persons,-53.0,-1254.0,83.0,,omicron,~18 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7+,ED or UC encounters,symptomatic,USA,pregnant persons 18-49 years,pregnant persons,81.0,33.0,95.0,,omicron,~18 weeks,,,,,
129,Schrag,Test-negative case-control,26Sep2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals,7+,hospitalization,severe,USA,pregnant persons 18-49 years,pregnant persons,97.0,79.0,100.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,<60,infection,infection,Argentina,≥ 50 years,≥ 50 years,36.0,33.0,39.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,60+,infection,infection,Argentina,≥ 50 years,≥ 50 years,8.0,-4.0,19.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,<60,hospitalization,severe,Argentina,≥ 50 years,≥ 50 years,78.0,65.0,86.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,60+,hospitalization,severe,Argentina,≥ 50 years,≥ 50 years,86.0,23.0,97.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,<60,death,death,Argentina,≥ 50 years,≥ 50 years,80.0,68.0,97.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination at least 120 days prior,60+,death,death,Argentina,≥ 50 years,≥ 50 years,75.0,-17.0,95.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,BBIBP-CorV (Beijing CNBG),Pfizer,included,complete vaccination at least 120 days prior,<60,infection,infection,Argentina,≥ 50 years,≥ 50 years,38.0,31.0,45.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,BBIBP-CorV (Beijing CNBG),Pfizer,included,complete vaccination at least 120 days prior,60+,infection,infection,Argentina,≥ 50 years,≥ 50 years,36.0,16.0,50.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,BBIBP-CorV (Beijing CNBG),Pfizer,included,complete vaccination at least 120 days prior,<60,hospitalization,severe,Argentina,≥ 50 years,≥ 50 years,78.0,49.0,91.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,BBIBP-CorV (Beijing CNBG),Pfizer,included,complete vaccination at least 120 days prior,<60,death,death,Argentina,≥ 50 years,≥ 50 years,73.0,49.0,85.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,BBIBP-CorV (Beijing CNBG),Pfizer,included,complete vaccination at least 120 days prior,60+,death,death,Argentina,≥ 50 years,≥ 50 years,76.0,-85.0,97.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,<60,infection,infection,Argentina,≥ 50 years,≥ 50 years,34.0,31.0,37.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,60+,infection,infection,Argentina,≥ 50 years,≥ 50 years,-2.0,16.0,10.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,<60,hospitalization,severe,Argentina,≥ 50 years,≥ 50 years,76.0,68.0,83.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,60+,hospitalization,severe,Argentina,≥ 50 years,≥ 50 years,66.0,16.0,86.0,,omicron,~18 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,<60,death,death,Argentina,≥ 50 years,≥ 50 years,88.0,83.0,92.0,,omicron,~7 weeks,,,,,
130,Gonzalez,Test-negative case-control,27Sep2022,Sputnik V (Gamaleya),Pfizer,included,complete vaccination at least 120 days prior,60+,death,death,Argentina,≥ 50 years,≥ 50 years,84.0,46.0,95.0,,omicron,~18 weeks,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,14+,infection,infection,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",61.3,60.5,62.2,,delta & omicron,~16 weeks,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,<1 month,infection,infection,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",67.1,66.1,68.0,,delta & omicron,,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,2-<3 months,infection,infection,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",30.5,21.3,38.6,,delta & omicron,,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,14+,hospitalization,severe,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",89.0,86.2,91.2,,delta & omicron,~16 weeks,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,<1 month,hospitalization,severe,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",91.0,86.9,94.0,,delta & omicron,,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,2-<3 months,hospitalization,severe,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",78.7,54.5,90.0,,delta & omicron,,,,,,
131,Florea,Prospective cohort,22Sep2022,mRNA-1273 (Moderna),Moderna,included,complete vaccination,14+,death,death,USA,"immunocompetent, ≥ 18 years","immunocompetent, ≥ 18 years",96.0,68.0,99.5,,delta & omicron,~16 weeks,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,8+,infection,infection,Singapore,12-17 years,12-17 years,56.0,53.0,58.0,,omicron,~12 weeks,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,8-14,infection,infection,Singapore,12-17 years,12-17 years,59.0,56.0,62.0,,omicron,,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,60+,infection,infection,Singapore,12-17 years,12-17 years,40.0,34.0,45.0,,omicron,~12 weeks,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,8+,hospitalization,severe,Singapore,12-17 years,12-17 years,94.0,86.0,97.0,,omicron,~12 weeks,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,8-14,hospitalization,severe,Singapore,12-17 years,12-17 years,96.0,87.0,99.0,,omicron,,,,,,
132,Chiew,Retrospective cohort,28Sep2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,60+,hospitalization,severe,Singapore,12-17 years,12-17 years,84.0,14.0,97.0,,omicron,~12 weeks,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,<2 months,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,83.0,82.0,84.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,8+ months,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,17.0,7.0,26.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,<2 months,hospitalization,severe,USA,≥ 18 years,general pop,89.0,88.0,90.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,8+ months,hospitalization,severe,USA,≥ 18 years,general pop,31.0,17.0,43.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,<2 months,hospitalization,severe,USA,"immunocompromised, ≥ 18 years","immunocompromised, ≥ 18 years",78.0,73.0,82.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,6+ months,hospitalization,severe,USA,"immunocompromised, ≥ 18 years","immunocompromised, ≥ 18 years",29.0,13.0,42.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Pfizer,excluded,unvaccinated individuals,7+,hospitalization,severe,USA,"immunocompromised, ≥ 18 years","immunocompromised, ≥ 18 years",48.0,29.0,62.0,,omicron,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,<2 months,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,96.0,95.0,96.0,,delta,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,4-<6 monhts,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,88.0,62.0,96.0,,delta,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,<2 months,hospitalization,severe,USA,≥ 18 years,general pop,96.0,95.0,96.0,,delta,,,,,,
133,Ferdinands,Test-negative case-control,03Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,2+ months,hospitalization,severe,USA,≥ 18 years,general pop,92.0,90.0,93.0,,delta,,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,7-119,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,56.0,45.0,65.0,,omicron BA.4 or BA.5,,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,120+,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,28.0,24.0,33.0,,omicron BA.4 or BA.5,~45 weeks,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,7-119,hospitalization,severe,USA,≥ 18 years,general pop,54.0,23.0,72.0,,omicron BA.4 or BA.5,,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,120+,hospitalization,severe,USA,≥ 18 years,general pop,33.0,24.0,41.0,,omicron BA.4 or BA.5,~45 weeks,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,7-119,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,72.0,61.0,80.0,,omicron BA.4 or BA.5,,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,120+,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,29.0,23.0,34.0,,omicron BA.4 or BA.5,~45 weeks,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,7-119,hospitalization,severe,USA,≥ 18 years,general pop,73.0,50.0,86.0,,omicron BA.4 or BA.5,,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,120+,hospitalization,severe,USA,≥ 18 years,general pop,38.0,27.0,46.0,,omicron BA.4 or BA.5,~45 weeks,,,,,
134,Link-Gelles,Test-negative case-control,05Oct2022,Any mRNA - heterologous,Any mRNA - heterologous,included,unvaccinated individuals,7-119,ED or UC encounters,symptomatic,USA,≥ 18 years,general pop,70.0,52.0,81.0,,omicron BA.4 or BA.5,,,,,,
