,Study ID,first author,booster vaccine,reference group,VE,LCL,UCL,timing_of_dose_days,population_category,outcome_category,time_sup,time_inf
1330,153,Grewal,Pfizer,complete vaccination with 2 doses,87.0,83.0,90.0,33,60-69 years,severe,59,7
1332,153,Grewal,Pfizer,complete vaccination with 2 doses,83.0,74.0,89.0,33,60-69 years,severe,59,7
1334,153,Grewal,Pfizer,complete vaccination with 2 doses,83.0,79.0,86.0,33,70-79 years,severe,59,7
1336,153,Grewal,Pfizer,complete vaccination with 2 doses,80.0,74.0,85.0,33,70-79 years,severe,59,7
1338,153,Grewal,Pfizer,complete vaccination with 2 doses,77.0,72.0,80.0,33,≥ 80 years,severe,59,7
1340,153,Grewal,Pfizer,complete vaccination with 2 doses,82.0,78.0,86.0,33,≥ 80 years,severe,59,7
1346,156,Canetti,Pfizer,complete vaccination with 3 doses at least 4 months prior,52.0,45.0,58.0,21,HCW,infection,35,7
1347,156,Canetti,Pfizer,complete vaccination with 3 doses at least 4 months prior,-2.0,-27.0,17.0,92,HCW,infection,81,103
1350,158,Fabiani,Pfizer,complete vaccination with 3 doses at least 4 months prior,28.5,24.7,32.1,21,≥ 80 years,infection,28,14
1351,158,Fabiani,Pfizer,complete vaccination with 3 doses at least 4 months prior,7.6,-14.1,18.3,42,≥ 80 years,infection,56,28
1352,158,Fabiani,Pfizer,complete vaccination with 3 doses at least 4 months prior,43.2,30.6,54.9,21,≥ 80 years,severe,28,14
1353,158,Fabiani,Pfizer,complete vaccination with 3 doses at least 4 months prior,27.2,8.3,42.9,42,≥ 80 years,severe,56,28
1362,159,Chemaitelly,Pfizer,complete vaccination with 2 doses at least 6 months prior,57.1,55.9,58.3,22,general pop,infection,37,7
1373,161,Andersson,Pfizer,AZD1222 primary,-7.9,-80.2,64.4,44,general pop,infection,75,14
1374,161,Andersson,Moderna,AZD1222 primary,51.6,-49.9,100.0,44,general pop,infection,75,14
1375,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,16.5,6.9,26.1,44,general pop,infection,75,14
1376,161,Andersson,Moderna,AZD1222 + mRNA-1273 (heterologous) primary,19.9,7.8,31.9,44,general pop,infection,75,14
1377,161,Andersson,Moderna,AZD1222 + mRNA-1273 (heterologous) primary,36.0,-141.4,100.0,44,general pop,severe,75,14
1378,161,Andersson,Moderna,BNT162b2 primary,51.8,18.0,85.6,44,general pop,infection,75,14
1379,161,Andersson,Pfizer,mRNA-1273 primary,33.2,-6.8,73.2,44,general pop,infection,75,14
1380,161,Andersson,Pfizer,mRNA-1273 + BNT162b2 primary,-92.2,-458.0,100.0,44,general pop,infection,75,14
1381,161,Andersson,Pfizer,BNT162b2 primary,0.8,-1.0,2.6,44,general pop,infection,75,14
1382,161,Andersson,Pfizer,BNT162b2 primary,88.7,84.2,93.2,44,general pop,severe,75,14
1383,161,Andersson,Pfizer,BNT162b2 primary,64.1,25.2,100.0,44,general pop,severe,75,14
1384,161,Andersson,Pfizer,BNT162b2 primary,96.8,92.6,100.0,44,general pop,death,75,14
1385,161,Andersson,Moderna,mRNA-1273 primary,4.2,0.2,8.2,44,general pop,infection,75,14
1386,161,Andersson,Moderna,mRNA-1273 primary,89.3,80.8,97.9,44,general pop,severe,75,14
1387,161,Andersson,Moderna,mRNA-1273 primary,99.0,96.9,100.0,44,general pop,death,75,14
1388,161,Andersson,Pfizer,BNT162b2 primary,13.4,5.5,21.2,44,general pop,infection,75,14
1389,161,Andersson,Moderna,mRNA-1273 primary,11.2,-4.8,27.3,44,general pop,infection,75,14
1390,161,Andersson,Pfizer,AZD1222 primary,62.8,52.9,72.7,44,general pop,infection,75,14
1391,161,Andersson,Pfizer,AZD1222 primary,95.5,88.5,100.0,44,general pop,severe,75,14
1392,161,Andersson,Moderna,AZD1222 primary,77.7,67.9,87.4,44,general pop,infection,75,14
1393,161,Andersson,Moderna,AZD1222 primary,73.7,18.8,100.0,44,general pop,death,75,14
1394,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,42.7,35.8,49.6,44,general pop,infection,75,14
1395,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,86.6,65.1,100.0,44,general pop,severe,75,14
1396,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,52.8,-42.8,100.0,44,general pop,severe,75,14
1397,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,-11.9,-186.4,100.0,44,general pop,death,75,14
1398,161,Andersson,Moderna,AZD1222 + mRNA-1273 (heterologous) primary,55.1,42.9,67.2,44,general pop,infection,75,14
1399,161,Andersson,Moderna,BNT162b2 primary,36.2,21.9,50.4,44,general pop,infection,75,14
1400,161,Andersson,Moderna,BNT162b2 primary,34.6,-85.8,100.0,44,general pop,severe,75,14
1401,161,Andersson,Moderna,BNT162b2 primary,41.4,-47.7,100.0,44,general pop,severe,75,14
1402,161,Andersson,Moderna,BNT162b2 primary,99.3,98.2,100.0,44,general pop,death,75,14
1403,161,Andersson,Pfizer,mRNA-1273 primary,44.2,34.5,53.8,44,general pop,infection,75,14
1404,161,Andersson,Moderna,BNT162b2 primary + mRNA-1273,46.0,-29.9,100.0,44,general pop,infection,75,14
1405,161,Andersson,Pfizer,BNT162b2 primary + mRNA-1273,-17.1,-136.0,100.0,44,general pop,infection,75,14
1406,161,Andersson,Pfizer,BNT162b2 primary + mRNA-1273,47.8,27.7,68.0,44,general pop,infection,75,14
1407,161,Andersson,Moderna,BNT162b2 primary + mRNA-1273,32.1,-37.0,100.0,44,general pop,infection,75,14
1408,161,Andersson,Pfizer,BNT162b2 primary,39.5,37.2,41.8,44,general pop,infection,75,14
1409,161,Andersson,Pfizer,BNT162b2 primary,77.9,65.2,90.6,44,general pop,severe,75,14
1410,161,Andersson,Pfizer,BNT162b2 primary,80.9,69.5,92.4,44,general pop,death,75,14
1411,161,Andersson,Moderna,mRNA-1273 primary,47.9,41.5,54.3,44,general pop,infection,75,14
1412,161,Andersson,Moderna,mRNA-1273 primary,76.5,36.5,100.0,44,general pop,severe,75,14
1413,161,Andersson,Moderna,mRNA-1273 primary,87.8,60.7,100.0,44,general pop,death,75,14
1414,161,Andersson,Pfizer,BNT162b2 primary,38.7,-0.9,78.4,44,general pop,infection,75,14
1415,161,Andersson,Moderna,mRNA-1273 primary,64.4,9.6,100.0,44,general pop,infection,75,14
1416,161,Andersson,Pfizer,AZD1222 primary,-8.6,-79.8,62.6,44,general pop,infection,75,14
1417,161,Andersson,Moderna,AZD1222 primary,-66.6,-240.0,100.0,44,general pop,infection,75,14
1418,161,Andersson,Pfizer,AZD1222 + BNT162b2 (heterologous) primary,60.9,57.8,64.1,44,general pop,infection,75,14
1419,161,Andersson,Moderna,AZD1222 + mRNA-1273 (heterologous) primary,50.1,19.1,81.0,44,general pop,infection,75,14
1420,161,Andersson,Moderna,BNT162b2 primary,67.8,66.3,69.2,44,general pop,infection,75,14
1421,161,Andersson,Moderna,BNT162b2 primary,94.6,90.0,99.3,44,general pop,severe,75,14
1422,161,Andersson,Pfizer,mRNA-1273 primary,62.3,59.5,65.0,44,general pop,infection,75,14
1423,161,Andersson,Pfizer,mRNA-1273 primary,88.5,70.8,100.0,44,general pop,severe,75,14
1424,161,Andersson,Moderna,mRNA-1273 + BNT162b2 primary,69.7,47.4,92.0,44,general pop,infection,75,14
1425,161,Andersson,Moderna,mRNA-1273 + BNT162b2 primary,95.5,86.1,100.0,44,general pop,severe,75,14
1426,161,Andersson,Moderna,mRNA-1273 + BNT162b2 primary,75.5,16.8,100.0,44,general pop,severe,75,14
1427,161,Andersson,Pfizer,mRNA-1273 + BNT162b2 primary,66.7,56.0,77.4,44,general pop,infection,75,14
1428,161,Andersson,Pfizer,mRNA-1273 + BNT162b2 primary,65.1,48.7,81.5,44,general pop,infection,75,14
1429,161,Andersson,Moderna,mRNA-1273 + BNT162b2 primary,69.8,56.1,83.5,44,general pop,infection,75,14
1430,161,Andersson,Pfizer,BNT162b2 primary,69.8,69.2,70.5,44,general pop,infection,75,14
1431,161,Andersson,Pfizer,BNT162b2 primary,80.1,70.8,89.3,44,general pop,severe,75,14
1432,161,Andersson,Pfizer,BNT162b2 primary,83.7,79.0,88.4,44,general pop,severe,75,14
1433,161,Andersson,Moderna,mRNA-1273 primary,65.1,62.8,67.4,44,general pop,infection,75,14
1434,161,Andersson,Moderna,mRNA-1273 primary,94.4,85.5,100.0,44,general pop,severe,75,14
1435,161,Andersson,Moderna,mRNA-1273 primary,94.0,80.2,100.0,44,general pop,severe,75,14
1436,161,Andersson,Pfizer,BNT162b2 primary,59.7,41.9,77.5,44,general pop,infection,75,14
1437,161,Andersson,Moderna,mRNA-1273 primary,53.9,17.6,90.3,44,general pop,infection,75,14
1438,161,Andersson,Pfizer,AZD1222 primary,26.3,20.2,32.5,44,general pop,infection,75,14
1439,161,Andersson,Pfizer,AZD1222 primary,87.8,80.9,94.7,44,general pop,severe,75,14
1440,161,Andersson,Moderna,AZD1222 primary,38.8,34.2,43.3,44,general pop,infection,75,14
1441,161,Andersson,Moderna,AZD1222 primary,95.2,90.2,100.0,44,general pop,severe,75,14
1442,161,Andersson,Pfizer,AZD1222 + BNT162b2 primary,9.7,4.1,15.3,44,general pop,infection,75,14
1443,161,Andersson,Pfizer,AZD1222 + BNT162b2 primary,63.2,12.1,100.0,44,general pop,severe,75,14
1444,161,Andersson,Moderna,AZD1222 + mRNA-1273 primary,8.1,-13.3,29.4,44,general pop,infection,75,14
1445,161,Andersson,Moderna,BNT162b2 primary,37.4,34.7,40.2,44,general pop,infection,75,14
1446,161,Andersson,Moderna,BNT162b2 primary,88.7,83.6,93.8,44,general pop,infection,75,14
1447,161,Andersson,Pfizer,mRNA-1273 primary,20.2,14.3,26.1,44,general pop,infection,75,14
1448,161,Andersson,Pfizer,mRNA-1273 primary,89.6,79.7,99.6,44,general pop,severe,75,14
1449,161,Andersson,Moderna,mRNA-1273 + BNT162b2 primary,64.3,14.1,100.0,44,general pop,infection,75,14
1450,161,Andersson,Pfizer,mRNA-1273 + BNT162b2 primary,49.1,-29.0,100.0,44,general pop,infection,75,14
1451,161,Andersson,Pfizer,mRNA-1273 + BNT162b2 primary,55.4,-14.1,100.0,44,general pop,infection,75,14
1452,161,Andersson,Pfizer,BNT162b2 primary,23.0,21.3,24.8,44,general pop,infection,75,14
1453,161,Andersson,Pfizer,BNT162b2 primary,83.7,79.0,88.4,44,general pop,severe,75,14
1454,161,Andersson,Moderna,mRNA-1273 primary,31.0,25.5,36.6,44,general pop,infection,75,14
1455,161,Andersson,Moderna,mRNA-1273 primary,76.3,59.5,93.1,44,general pop,severe,75,14
1456,161,Andersson,Pfizer,BNT162b2 primary,29.1,23.6,34.6,44,general pop,infection,75,14
1457,161,Andersson,Moderna,mRNA-1273 primary,38.7,19.7,57.6,44,general pop,infection,75,14
1469,164,Fu,Pfizer,unvaccinated individuals,-22.0,-24.9,-19.1,30,general pop,infection,30,30
1470,164,Fu,Pfizer,unvaccinated individuals,45.7,40.3,50.6,240,general pop,infection,240,240
1471,164,Fu,Moderna,unvaccinated individuals,-44.1,-56.4,-32.7,30,general pop,infection,30,30
1472,164,Fu,Moderna,unvaccinated individuals,89.7,72.5,96.1,240,general pop,infection,240,240
1473,164,Fu,Moderna,unvaccinated individuals,-15.2,-18.5,-11.9,30,general pop,infection,30,30
1474,164,Fu,Moderna,unvaccinated individuals,76.5,70.9,81.1,240,general pop,infection,240,240
1475,164,Fu,Pfizer,unvaccinated individuals,-64.8,-76.5,-53.9,30,general pop,infection,30,30
1476,164,Fu,Pfizer,unvaccinated individuals,83.9,66.2,92.3,240,general pop,infection,240,240
1490,170,Mimura,Pfizer,complete vaccination with 2 doses (14 days post dose 2 to 13 days post dose 3),63.6,56.4,69.5,17,≥16 years,infection,21,14
1492,170,Mimura,Pfizer,complete vaccination with 2 doses (14 days post dose 2 to 13 days post dose 3),66.5,58.7,72.8,17,≥16 years,symptomatic,21,14
1494,170,Mimura,Pfizer,complete vaccination with 2 doses (14 days post dose 2 to 13 days post dose 3),52.9,41.1,62.3,17,≥16 years,infection,21,14
1496,170,Mimura,Pfizer,complete vaccination with 2 doses (14 days post dose 2 to 13 days post dose 3),59.6,47.9,68.6,17,≥16 years,symptomatic,21,14
1498,171,Nittayasoot,Pfizer,unvaccinated individuals,99.0,92.6,99.8,51,general pop,severe,89,14
1507,172,Carazo,Pfizer,unvaccinated individuals,93.0,92.0,94.0,48,≥ 60 years,severe,90,7
1508,172,Carazo,Pfizer,unvaccinated individuals,87.0,84.0,89.0,135,≥ 60 years,severe,179,91
1511,172,Carazo,Pfizer,unvaccinated individuals,96.0,92.0,98.0,48,≥ 60 years,severe,90,7
1514,172,Carazo,Pfizer,unvaccinated individuals,85.0,81.0,88.0,48,≥ 60 years,severe,90,7
1515,172,Carazo,Pfizer,unvaccinated individuals,66.0,48.0,78.0,224,≥ 60 years,severe,269,180
1518,172,Carazo,Pfizer,unvaccinated individuals,82.0,78.0,86.0,48,≥ 60 years,severe,90,7
1519,172,Carazo,Pfizer,unvaccinated individuals,85.0,69.0,93.0,135,≥ 60 years,severe,179,91
1522,172,Carazo,Pfizer,unvaccinated individuals,82.0,68.0,90.0,48,≥ 60 years,severe,90,7
1523,172,Carazo,Pfizer,unvaccinated individuals,56.0,45.0,66.0,314,≥ 60 years,severe,359,270
1526,172,Carazo,Pfizer,unvaccinated individuals,80.0,76.0,83.0,48,≥ 60 years,severe,90,7
1527,172,Carazo,Pfizer,unvaccinated individuals,75.0,-9.0,94.0,314,≥ 60 years,severe,359,270
1530,172,Carazo,Pfizer,unvaccinated individuals,73.0,67.0,78.0,48,≥ 60 years,severe,90,7
1531,172,Carazo,Pfizer,unvaccinated individuals,57.0,11.0,79.0,135,≥ 60 years,severe,179,91
1559,177,Tamandiou,Pfizer,complete vaccination with primary series plus any mRNA booster dose received 6-7 months prior,39.3,37.8,40.7,18,≥ 60 years,symptomatic,30,7
1560,177,Tamandiou,Pfizer,complete vaccination with primary series plus any mRNA booster dose received 6-7 months prior,-32.6,-39.1,26.4,195,≥ 60 years,symptomatic,210,180
1589,182,Lin,Pfizer,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,24.4,14.4,33.2,1,5-11 years,infection,1,1
1590,182,Lin,Pfizer,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,19.3,6.9,30.0,5,5-11 years,infection,5,5
1591,182,Lin,Pfizer bivalent,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,76.7,45.7,90.0,1,5-11 years,infection,1,1
1592,182,Lin,Pfizer bivalent,complete vaccination with 2 doses of BNT162b2 or mRNA-1273,47.3,-17.9,76.4,2,5-11 years,infection,2,2
1594,183,Link-Gelles,Pfizer bivalent,vaccination with 2 or 3 doses of monovalent mRNA vaccine,51.0,43.0,58.0,36,general pop,symptomatic,59,14
1595,183,Link-Gelles,Pfizer bivalent,vaccination with 2 or 3 doses of monovalent mRNA vaccine,52.0,48.0,56.0,89,general pop,symptomatic,119,60
1597,183,Link-Gelles,Pfizer bivalent,vaccination with 2 or 3 doses of monovalent mRNA vaccine,50.0,36.0,61.0,36,general pop,symptomatic,59,14
1598,183,Link-Gelles,Pfizer bivalent,vaccination with 2 or 3 doses of monovalent mRNA vaccine,48.0,39.0,55.0,89,general pop,symptomatic,119,60
1600,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",54.0,43.0,63.0,36,50-64 years,symptomatic,59,14
1601,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",39.0,30.0,46.0,89,50-64 years,symptomatic,119,60
1603,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",55.0,42.0,65.0,36,≥ 65 years,symptomatic,59,14
1604,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",32.0,21.0,40.0,89,≥ 65 years,symptomatic,119,60
1606,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",45.0,25.0,60.0,36,50-64 years,symptomatic,59,14
1607,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",38.0,24.0,50.0,89,50-64 years,symptomatic,119,60
1609,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",50.0,24.0,68.0,36,≥ 65 years,symptomatic,59,14
1610,183,Link-Gelles,Pfizer bivalent,"vaccination with 2, 3, or 4 doses of monovalent mRNA vaccine",42.0,26.0,54.0,89,≥ 65 years,symptomatic,119,60
1611,184,Lin,Pfizer,complete primary vaccination,15.8,-39.5,49.1,57,≥ 12 years,severe,99,15
1612,184,Lin,Pfizer,complete primary vaccination,4.2,-50.1,38.8,57,≥ 12 years,severe,99,15
1613,184,Lin,Pfizer,complete primary + first booster vaccination (3 doses),28.0,-3.2,49.8,57,≥ 12 years,severe,99,15
1614,184,Lin,Pfizer,complete primary + first booster vaccination (3 doses),32.2,4.5,51.8,57,≥ 12 years,severe,99,15
1615,184,Lin,Pfizer bivalent,complete primary vaccination,54.0,-6.3,80.1,57,≥ 12 years,severe,99,15
1616,184,Lin,Pfizer bivalent,complete primary vaccination,54.0,-0.3,78.9,57,≥ 12 years,severe,99,15
1617,184,Lin,Pfizer bivalent,complete primary + first booster vaccination (3 doses),61.9,43.6,74.3,57,≥ 12 years,severe,99,15
1618,184,Lin,Pfizer bivalent,complete primary + first booster vaccination (3 doses),64.0,47.0,75.5,57,≥ 12 years,severe,99,15
1619,184,Lin,Pfizer bivalent,complete primary + first and second booster vaccination (4 doses),55.7,12.0,77.7,57,≥ 12 years,severe,99,15
1620,184,Lin,Pfizer bivalent,complete primary + first and second booster vaccination (4 doses),63.1,27.3,81.2,57,≥ 12 years,severe,99,15
1622,186,Niesen,Pfizer,complete vaccination with 2 doses of any mRNA,89.6,86.9,91.7,3267,general pop,symptomatic,3392,3142
1623,186,Niesen,Moderna,complete vaccination with 2 doses of any mRNA,89.1,82.9,93.0,3267,general pop,symptomatic,3392,3142
1693,42,Monge,Moderna,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,49.7,48.3,51.1,20,≥ 40 years,infection,34,7
1694,42,Monge,Moderna,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,55.3,52.3,58.2,20,≥ 40 years,infection,34,7
1695,42,Monge,Moderna,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,58.6,55.5,61.6,20,≥ 40 years,infection,34,7
1696,42,Monge,Moderna,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,48.0,42.5,53.7,20,≥ 40 years,infection,34,7
1706,56,Wang,Moderna,unvaccinated individuals,65.0,63.0,66.0,96,general pop,infection,179,14
1708,56,Wang,Moderna,unvaccinated individuals,91.0,90.0,92.0,96,general pop,infection,179,14
1742,74,Gram,Moderna,unvaccinated individuals,55.2,54.7,55.6,22,12-59 years,infection,30,14
1744,74,Gram,Moderna,unvaccinated individuals,89.8,87.9,91.3,22,12-59 years,severe,30,14
1746,74,Gram,Moderna,unvaccinated individuals,89.5,87.7,91.0,22,12-59 years,infection,30,14
1747,74,Gram,Moderna,unvaccinated individuals,83.5,69.4,91.1,75,12-59 years,infection,90,61
1748,74,Gram,Moderna,unvaccinated individuals,94.8,85.9,98.1,22,12-59 years,severe,30,14
1749,74,Gram,Moderna,unvaccinated individuals,68.4,41.4,83.0,45,12-59 years,severe,60,31
1750,74,Gram,Moderna,unvaccinated individuals,57.6,55.8,59.4,22,≥ 60 years,infection,30,14
1752,74,Gram,Moderna,unvaccinated individuals,94.4,93.0,95.5,22,≥ 60 years,severe,30,14
1754,74,Gram,Moderna,unvaccinated individuals,86.0,83.3,88.3,22,≥ 60 years,infection,30,14
1755,74,Gram,Moderna,unvaccinated individuals,81.2,72.9,87.0,75,≥ 60 years,infection,90,61
1756,74,Gram,Moderna,unvaccinated individuals,96.6,93.9,98.1,45,≥ 60 years,severe,60,31
1757,74,Gram,Moderna,unvaccinated individuals,91.4,79.8,96.4,105,≥ 60 years,severe,120,91
1758,75,Lind,Moderna,complete vaccination with 2 doses ≥5 months prior,55.0,48.0,61.0,36,general pop,infection,59,14
1768,78,Castillo,Moderna,unvaccinated individuals,64.0,63.0,64.0,11,general pop,symptomatic,14,8
1770,78,Castillo,Moderna,unvaccinated individuals,90.0,87.0,92.0,11,general pop,severe,14,8
1772,78,Castillo,Moderna,unvaccinated individuals,96.0,92.0,99.0,11,general pop,severe,14,8
1774,78,Castillo,Moderna,unvaccinated individuals,95.0,89.0,100.0,11,general pop,death,14,8
1776,78,Castillo,Moderna,unvaccinated individuals,84.0,79.0,88.0,11,general pop,symptomatic,14,8
1778,78,Castillo,Moderna,unvaccinated individuals,98.0,98.0,99.0,11,general pop,severe,14,8
1780,78,Castillo,Moderna,unvaccinated individuals,99.0,98.0,99.0,11,general pop,severe,14,8
1782,78,Castillo,Moderna,unvaccinated individuals,98.0,96.0,100.0,11,general pop,death,14,8
1794,86,Fano,Moderna,unvaccinated individuals,69.1,67.5,70.7,17,general pop,infection,19,15
1796,86,Fano,Moderna,unvaccinated individuals,28.0,0.0,48.5,12,general pop,infection,14,10
1827,99,Breznik,Moderna,complete vaccination with 3 doses,81.0,70.0,88.0,90,nursing and retirement home residents,infection,120,60
1828,104,Link-Gelles,Moderna,unvaccinated individuals,84.0,83.0,85.0,63,general pop,symptomatic,119,7
1830,104,Link-Gelles,Moderna,unvaccinated individuals,92.0,91.0,93.0,63,general pop,severe,119,7
1832,104,Link-Gelles,Moderna,unvaccinated individuals,56.0,51.0,61.0,63,general pop,symptomatic,119,7
1834,104,Link-Gelles,Moderna,unvaccinated individuals,69.0,58.0,76.0,63,general pop,severe,119,7
1840,110,Stirrup,Moderna,complete vaccination with 2 doses at least 84 days prior,72.0,67.0,76.0,31,LTCF staff,infection,48,14
1842,110,Stirrup,Moderna,complete vaccination with 2 doses at least 84 days prior,63.0,54.0,70.0,31,LTCF staff,infection,48,14
1844,110,Stirrup,Moderna,complete vaccination with 2 doses at least 84 days prior,80.0,67.0,88.0,31,LTCF staff,infection,48,14
1846,110,Stirrup,Moderna,complete vaccination with 2 doses at least 84 days prior,75.0,52.0,87.0,31,LTCF staff,infection,48,14
1851,115,Powell,Moderna,unvaccinated individuals,62.9,60.5,65.1,59,11-17 years,symptomatic,104,14
1852,115,Powell,Moderna,unvaccinated individuals,33.6,14.6,48.3,139,11-17 years,symptomatic,174,105
1853,115,Powell,Moderna,unvaccinated individuals,96.0,92.2,97.9,59,11-17 years,symptomatic,104,14
1857,126,Tan,Moderna,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,35.0,31.0,40.0,19,80+ years,symptomatic,30,8
1860,126,Tan,Moderna,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,58.0,50.0,64.0,19,80+ years,severe,30,8
1863,126,Tan,Moderna,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,58.0,42.0,69.0,19,80+ years,severe,30,8
1866,129,Schrag,Moderna,unvaccinated individuals,79.0,59.0,89.0,63,pregnant persons,symptomatic,119,7
1869,129,Schrag,Moderna,unvaccinated individuals,86.0,28.0,97.0,63,pregnant persons,severe,119,7
1901,134,Link-Gelles,Moderna,complete vaccination at least 150 days prior,46.0,39.0,58.0,63,general pop,symptomatic,119,7
1902,134,Link-Gelles,Moderna,complete vaccination at least 150 days prior,57.0,35.0,72.0,63,general pop,severe,119,7
1921,137,McConeghy,Moderna,receipt of 3 doses at least 120 days prior,25.8,1.2,44.3,30,nursing home residents,infection,60,0
1922,137,McConeghy,Moderna,receipt of 3 doses at least 120 days prior,60.1,-18.8,91.5,30,nursing home residents,severe,60,0
1923,137,McConeghy,Moderna,receipt of 3 doses at least 120 days prior,89.6,45.0,100.0,30,nursing home residents,death,60,0
1924,137,McConeghy,Moderna,receipt of 3 doses at least 120 days prior,73.9,36.1,92.2,30,nursing home residents,severe,60,0
1941,144,UKHSA,Moderna,complete vaccination with 3 doses at least 25-39 weeks prior,58.8,54.1,63.0,21,≥ 75 years,severe,28,14
1943,149,Britton,Moderna,unvaccinated individuals,75.0,71.0,79.0,48,immunocompromised,severe,89,7
1952,150,Surie,Moderna,unvaccinated individuals,79.0,74.0,84.0,63,general pop,severe,120,7
1955,150,Surie,Moderna,unvaccinated individuals,61.0,29.0,78.0,63,general pop,severe,120,7
1956,150,Surie,Moderna,unvaccinated individuals,60.0,12.0,81.0,63,general pop,severe,120,7
1959,150,Surie,Moderna,unvaccinated individuals,61.0,37.0,76.0,63,general pop,severe,120,7
1960,153,Grewal,Moderna,unvaccinated individuals,96.0,93.0,97.0,149,50-59 years,severe,179,120
1961,153,Grewal,Moderna,unvaccinated individuals,98.0,93.0,99.0,209,50-59 years,severe,239,180
1962,153,Grewal,Moderna,unvaccinated individuals,97.0,77.0,100.0,33,50-59 years,severe,59,7
1963,153,Grewal,Moderna,unvaccinated individuals,95.0,96.0,96.0,89,60-69 years,severe,119,60
1964,153,Grewal,Moderna,unvaccinated individuals,90.0,79.0,95.0,209,60-69 years,severe,239,180
1965,153,Grewal,Moderna,unvaccinated individuals,96.0,93.0,98.0,33,60-69 years,severe,59,7
1966,153,Grewal,Moderna,unvaccinated individuals,95.0,77.0,99.0,89,60-69 years,severe,119,60
1967,153,Grewal,Moderna,unvaccinated individuals,96.0,96.0,97.0,33,70-79 years,severe,59,7
1968,153,Grewal,Moderna,unvaccinated individuals,91.0,85.0,95.0,209,70-79 years,severe,239,180
1969,153,Grewal,Moderna,unvaccinated individuals,96.0,94.0,97.0,33,70-79 years,severe,59,7
1970,153,Grewal,Moderna,unvaccinated individuals,93.0,87.0,96.0,89,70-79 years,severe,119,60
1971,153,Grewal,Moderna,unvaccinated individuals,92.0,90.0,93.0,33,80+ years,severe,59,7
1972,153,Grewal,Moderna,unvaccinated individuals,87.0,80.0,91.0,209,80+ years,severe,239,180
1973,153,Grewal,Moderna,unvaccinated individuals,94.0,92.0,95.0,33,80+ years,severe,59,7
1975,153,Grewal,Moderna,unvaccinated individuals,77.0,50.0,89.0,149,50-59 years,severe,179,120
1976,153,Grewal,Moderna,unvaccinated individuals,75.0,60.0,84.0,209,50-59 years,severe,239,180
1977,153,Grewal,Moderna,unvaccinated individuals,95.0,82.0,98.0,33,50-59 years,severe,59,7
1978,153,Grewal,Moderna,unvaccinated individuals,94.0,53.0,99.0,89,60-69 years,severe,119,60
1979,153,Grewal,Moderna,unvaccinated individuals,69.0,55.0,78.0,209,60-69 years,severe,239,180
1980,153,Grewal,Moderna,unvaccinated individuals,88.0,78.0,94.0,33,60-69 years,severe,59,7
1981,153,Grewal,Moderna,unvaccinated individuals,81.0,70.0,88.0,89,60-69 years,severe,119,60
1982,153,Grewal,Moderna,unvaccinated individuals,86.0,37.0,97.0,33,70-79 years,severe,59,7
1983,153,Grewal,Moderna,unvaccinated individuals,59.0,44.0,70.0,209,70-79 years,severe,239,180
1984,153,Grewal,Moderna,unvaccinated individuals,85.0,77.0,90.0,33,70-79 years,severe,59,7
1985,153,Grewal,Moderna,unvaccinated individuals,86.0,80.0,90.0,89,70-79 years,severe,119,60
1986,153,Grewal,Moderna,unvaccinated individuals,76.0,27.0,92.0,33,≥ 80 years,severe,59,7
1987,153,Grewal,Moderna,unvaccinated individuals,52.0,36.0,64.0,209,≥ 80 years,severe,239,180
