study ID,first author,vaccine,dose_number,dose,days_since_first_dose,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,
234,Richardson,Ad5-nCOV (CanSino),1,final,14-60,hospitalization,severe,Mexico,childcare workers,childcare workers,92,23,99,,"non-VOC, alpha, gamma, & delta",~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,120+,hospitalization,severe,Mexico,childcare workers,childcare workers,24,-263,84,,"non-VOC, alpha, gamma, & delta",~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,61-120,death,death,Mexico,childcare workers,childcare workers,95,53,100,,"non-VOC, alpha, gamma, & delta",~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,120+,death,death,Mexico,childcare workers,childcare workers,93,22,99,,"non-VOC, alpha, gamma, & delta",~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,14+,infection,infection,Mexico,childcare workers,childcare workers,53,23,71,,alpha & gamma,~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,14+,infection,infection,Mexico,childcare workers,childcare workers,18,8,28,,delta,~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,14+,hospitalization,severe,Mexico,childcare workers,childcare workers,74,38,89,,delta,~33 weeks,,,
234,Richardson,Ad5-nCOV (CanSino),1,final,14+,death,death,Mexico,childcare workers,childcare workers,94,67,99,,delta,~33 weeks,,,
235,Vokó,Pfizer,2,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,70.3,69.2,71.3,,delta,~47 weeks,,,
235,Vokó,Pfizer,2,final,240+,infection,infection,Hungary,18-64 years,18-64 years,0.6,-2.3,3.4,,delta,~47 weeks,,,
235,Vokó,Pfizer,2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,82.6,80.1,84.7,,delta,~47 weeks,,,
235,Vokó,Pfizer,2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,69.6,64.9,73.6,,delta,~47 weeks,,,
235,Vokó,Pfizer,2,final,14-120,death,death,Hungary,18-64 years,18-64 years,87.4,81.5,91.5,,delta,~47 weeks,,,
235,Vokó,Pfizer,2,final,240+,death,death,Hungary,18-64 years,18-64 years,73.6,61.1,82.1,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,76.9,73.3,80,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,240+,infection,infection,Hungary,18-64 years,18-64 years,22.6,6.1,36.2,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,84.9,75.4,90.8,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,42.5,-4,68.2,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,14-120,death,death,Hungary,18-64 years,18-64 years,77.7,30.7,92.8,,delta,~47 weeks,,,
235,Vokó,Moderna,2,final,240+,death,death,Hungary,18-64 years,18-64 years,100,,,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,39.2,36.4,41.9,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,240+,infection,infection,Hungary,18-64 years,18-64 years,-14,-20.5,-7.9,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,76.2,70.6,80.7,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,48.8,38.2,57.6,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,14-120,death,death,Hungary,18-64 years,18-64 years,90.1,73.5,96.3,,delta,~47 weeks,,,
235,Vokó,AZD1222 (AstraZeneca),2,final,240+,death,death,Hungary,18-64 years,18-64 years,57.1,35.2,71.6,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,38.3,31.8,44.3,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,240+,infection,infection,Hungary,18-64 years,18-64 years,-4.6,-12.5,2.9,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,90.4,78.5,95.7,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,78.7,69.1,85.4,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,121-180,death,death,Hungary,18-64 years,18-64 years,89.3,79.9,94.3,,delta,~47 weeks,,,
235,Vokó,Sputnik V (Gamaleya),2,final,240+,death,death,Hungary,18-64 years,18-64 years,79.1,59.8,89.2,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,39.3,36.1,42.4,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,181-240,infection,infection,Hungary,18-64 years,18-64 years,35.9,32.5,39.2,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,43.2,32.9,52,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,181-240,hospitalization,severe,Hungary,18-64 years,18-64 years,59.4,50.1,67,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,14-120,death,death,Hungary,18-64 years,18-64 years,59.8,35.2,75.1,,delta,~47 weeks,,,
235,Vokó,Janssen,1,final,181-240,death,death,Hungary,18-64 years,18-64 years,76.1,56.7,86.8,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,14-120,infection,infection,Hungary,18-64 years,18-64 years,10.9,6.7,15,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,240+,infection,infection,Hungary,18-64 years,18-64 years,-19.9,-31.9,-9,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,53.8,43.9,61.9,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,40.9,24.4,53.8,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,14-120,death,death,Hungary,18-64 years,18-64 years,67.4,39.2,82.5,,delta,~47 weeks,,,
235,Vokó,BBIBP-CorV (Beijing CNBG),2,final,240+,death,death,Hungary,18-64 years,18-64 years,50.7,21.4,69.1,,delta,~47 weeks,,,
236,Gram,Pfizer,2,final,14-30,infection,infection,Denmark,12-59 years,12-59 years,39.8,38.4,41.2,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,infection,infection,Denmark,12-59 years,12-59 years,13.2,12.5,13.9,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,hospitalization,severe,Denmark,12-59 years,12-59 years,62.4,46.3,73.6,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,hospitalization,severe,Denmark,12-59 years,12-59 years,65.9,62,69.4,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,infection,infection,Denmark,12-59 years,12-59 years,92.2,91.8,92.6,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,infection,infection,Denmark,12-59 years,12-59 years,64.9,64,65.8,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,hospitalization,severe,Denmark,12-59 years,12-59 years,99.1,98,99.6,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,hospitalization,severe,Denmark,12-59 years,12-59 years,91.6,89.5,93.2,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,39.9,26.4,50.9,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,infection,infection,Denmark,≥ 60 years,≥ 60 years,4.7,0.2,8.9,,omicron,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,82.2,75.3,87.1,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,infection,infection,Denmark,≥ 60 years,≥ 60 years,49.8,46.5,52.8,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,31-60,hospitalization,severe,Denmark,≥ 60 years,≥ 60 years,97.7,95.2,98.9,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,hospitalization,severe,Denmark,≥ 60 years,≥ 60 years,86.2,84.2,87.9,,delta,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,infection,infection,Denmark,≥ 60 years,≥ 60 years,91,88.5,92.9,,alpha,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,infection,infection,Denmark,≥ 60 years,≥ 60 years,71.5,54.7,82.1,,alpha,~56 weeks,,,
236,Gram,Pfizer,2,final,14-30,hospitalization,severe,Denmark,≥ 60 years,≥ 60 years,96.4,92.6,98.3,,alpha,~56 weeks,,,
236,Gram,Pfizer,2,final,120+,hospitalization,severe,Denmark,≥ 60 years,≥ 60 years,90.5,67,97.2,,alpha,~56 weeks,,,
237,Lind,Pfizer,2,final,14-140,infection,infection,USA,≥ 18 years,general pop,28.5,20,36.2,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,150+,infection,infection,USA,≥ 18 years,general pop,15.3,10.4,20,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,14-140,infection,infection,USA,≥ 18 years,general pop,36.1,7.1,56.1,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,150+,infection,infection,USA,≥ 18 years,general pop,34,18.5,46.5,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,14-140,infection,infection,USA,≥ 18 years,general pop,30.7,20.6,39.6,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,150+,infection,infection,USA,≥ 18 years,general pop,20,14,25.6,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,14-140,infection,infection,USA,≥ 18 years,general pop,14.3,-43.1,48.7,omicron,omicron,~40 weeks,,,
237,Lind,Pfizer,2,final,150+,infection,infection,USA,≥ 18 years,general pop,18.8,-9,39.5,omicron,omicron,~40 weeks,,,
238,Sanchez Ruiz,Pfizer,2,final,14+,infection,infection,France,LTCF residents,LTCF residents,11.2,0,61.1,delta,delta,,,,
238,Sanchez Ruiz,Pfizer,2,final,14+,symptomatic disease,symptomatic,France,LTCF residents,LTCF residents,88.4,59.9,96.7,delta,delta,,,,
238,Sanchez Ruiz,Pfizer,2,final,14+,severe disease,severe,France,LTCF residents,LTCF residents,93.5,67.2,98.7,delta,delta,,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with rheumatoid arthritis,individuals with rheumatoid arthritis,82,78,85,,alpha & delta,~44 weeks,,,
239,Widdifield,Moderna,2,final,7+,infection,infection,Canada,individuals with rheumatoid arthritis,individuals with rheumatoid arthritis,86,80,90,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with rheumatoid arthritis,individuals with rheumatoid arthritis,83,80,86,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,severe disease,severe,Canada,individuals with rheumatoid arthritis,individuals with rheumatoid arthritis,92,88,95,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with ankylosing spondylitis,individuals with ankylosing spondylitis,88,82,93,,alpha & delta,~44 weeks,,,
239,Widdifield,Moderna,2,final,7+,infection,infection,Canada,individuals with ankylosing spondylitis,individuals with ankylosing spondylitis,93,83,97,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with ankylosing spondylitis,individuals with ankylosing spondylitis,89,83,93,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,severe disease,severe,Canada,individuals with ankylosing spondylitis,individuals with ankylosing spondylitis,97,83,99,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with psoriasis,individuals with psoriasis,82,79,85,,alpha & delta,~44 weeks,,,
239,Widdifield,Moderna,2,final,7+,infection,infection,Canada,individuals with psoriasis,individuals with psoriasis,87,82,91,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with psoriasis,individuals with psoriasis,84,81,86,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,severe disease,severe,Canada,individuals with psoriasis,individuals with psoriasis,92,86,95,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with inflammatory bowel disease,individuals with inflammatory bowel disease,82,79,85,,alpha & delta,~44 weeks,,,
239,Widdifield,Moderna,2,final,7+,infection,infection,Canada,individuals with inflammatory bowel disease,individuals with inflammatory bowel disease,87,82,91,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,infection,infection,Canada,individuals with inflammatory bowel disease,individuals with inflammatory bowel disease,79,74,82,,alpha & delta,~44 weeks,,,
239,Widdifield,Pfizer,2,final,7+,severe disease,severe,Canada,individuals with inflammatory bowel disease,individuals with inflammatory bowel disease,94,88,97,,alpha & delta,~44 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,14-59,symptomatic disease,symptomatic,Brazil,≥ 18 years,general pop,49.2,48.5,49.9,,omicron,~7 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,150+,symptomatic disease,symptomatic,Brazil,≥ 18 years,general pop,9.6,8.1,11,,omicron,~33 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,14-59,severe disease,severe,Brazil,≥ 18 years,general pop,82.9,80.6,85,,omicron,~7 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,150+,severe disease,severe,Brazil,≥ 18 years,general pop,82.6,80.7,84.3,,omicron,~33 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,14-59,symptomatic disease,symptomatic,Brazil,≥ 18 years,general pop,26.7,25.2,28.2,,omicron,~7 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,150+,symptomatic disease,symptomatic,Brazil,≥ 18 years,general pop,0.9,0,1.9,,omicron,~36 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,14-59,severe disease,severe,Brazil,≥ 18 years,general pop,77.1,72.9,80.6,,omicron,~7 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,150+,severe disease,severe,Brazil,≥ 18 years,general pop,67.8,66.7,69,,omicron,~36 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,14-59,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,57.7,54.5,60.6,,omicron,~7 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,150+,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,17.8,15.1,20.5,,omicron,~38.5 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,14-59,severe disease,severe,Scotland,≥ 18 years,general pop,90.4,30.4,98.7,,omicron,~7 weeks,,,
240,Cerqueira-Silva,Pfizer,2,final,150+,severe disease,severe,Scotland,≥ 18 years,general pop,72.9,57.9,82.5,,omicron,~38.5 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,14-59,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,40.7,26.6,52.1,,omicron,~7 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,150+,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,9.6,6.3,12.9,,omicron,~35.5 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,60-149,severe disease,severe,Scotland,≥ 18 years,general pop,78.8,31.8,93.4,,omicron,~19 weeks,,,
240,Cerqueira-Silva,AZD1222 (AstraZeneca),2,final,150+,severe disease,severe,Scotland,≥ 18 years,general pop,52.8,33.3,66.7,,omicron,~35.5 weeks,,,
241,Gonzalez,Pfizer,2,final,14+,hospitalization,severe,Argentina,12-17 years,12-17 years,81,59.9,90.1,,delta & omicron,~17 weeks,,,
241,Gonzalez,BBIBP-CorV (Beijing CNBG),2,final,14+,hospitalization,severe,Argentina,3-11 years,3-11 years,83.4,70.9,90.2,,delta & omicron,~9 weeks,,,
241,Gonzalez,Pfizer,2,final,14+,hospitalization,severe,Argentina,12-17 years,12-17 years,78.2,42,90.3,,omicron,~25 weeks,,,
241,Gonzalez,BBIBP-CorV (Beijing CNBG),2,final,14+,hospitalization,severe,Argentina,3-11 years,3-11 years,58.6,4.1,79.7,,omicron,16 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,infection,infection,USA,military personnel,military personnel,87.6,86.2,88.9,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,80.3,76.5,83.5,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,89.9,88.4,91.2,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,hospitalization,severe,USA,military personnel,military personnel,88,75.4,94.1,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,infection,infection,USA,military personnel,military personnel,93.5,91.9,94.7,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,94.7,91.9,96.6,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,93.1,91.2,94.6,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,hospitalization,severe,USA,military personnel,military personnel,89.6,57.5,97.4,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,infection,infection,USA,military personnel,military personnel,81.8,74.2,87.1,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,81.4,62.6,90.8,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,82.4,73.9,88.2,,"pre-delta (non-VOC, alpha)",~19 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,infection,infection,USA,military personnel,military personnel,69.3,68.2,70.3,,delta,~35 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,66,64,67.8,,delta,~35 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,71,69.7,72.1,,delta,~35 weeks,,,
242,Eick-Cost,Pfizer,2,final,14+,hospitalization,severe,USA,military personnel,military personnel,88.4,82.1,92.5,,delta,~35 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,infection,infection,USA,military personnel,military personnel,79.4,78.3,80.4,,delta,~35 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,77,75.1,78.8,,delta,~35 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,80.6,79.4,81.8,,delta,~35 weeks,,,
242,Eick-Cost,Moderna,2,final,14+,hospitalization,severe,USA,military personnel,military personnel,88.1,75.7,94.2,,delta,~35 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,infection,infection,USA,military personnel,military personnel,38.3,34.5,41.9,,delta,~35 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,asymptomatic infection,asymptomatic,USA,military personnel,military personnel,19.6,12.2,26.4,,delta,~35 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,symptomatic disease,symptomatic,USA,military personnel,military personnel,48.9,45,52.7,,delta,~35 weeks,,,
242,Eick-Cost,Janssen,1,final,14+,hospitalization,severe,USA,military personnel,military personnel,57.7,2.6,81.6,,delta,~35 weeks,,,
243,Castillo,Pfizer,2,final,0-30,symptomatic disease,symptomatic,France,≥ 18 years,general pop,43,41,45,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,symptomatic disease,symptomatic,France,≥ 18 years,general pop,11,10,13,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,hospitalization,severe,France,≥ 18 years,general pop,59,49,70,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,hospitalization,severe,France,≥ 18 years,general pop,56,51,62,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,ICU admission,severe,France,≥ 18 years,general pop,70,40,97,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,ICU admission,severe,France,≥ 18 years,general pop,72,63,81,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,death,death,France,≥ 18 years,general pop,60,24,92,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,death,death,France,≥ 18 years,general pop,54,41,69,omicron,omicron,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,symptomatic disease,symptomatic,France,≥ 18 years,general pop,78,77,80,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,symptomatic disease,symptomatic,France,≥ 18 years,general pop,63,62,64,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,hospitalization,severe,France,≥ 18 years,general pop,91,87,95,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,hospitalization,severe,France,≥ 18 years,general pop,90,89,91,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,ICU admission,severe,France,≥ 18 years,general pop,93,86,99,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,ICU admission,severe,France,≥ 18 years,general pop,95,93,97,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,0-30,death,death,France,≥ 18 years,general pop,90,79,100,delta,delta,~48 weeks,,,
243,Castillo,Pfizer,2,final,180+,death,death,France,≥ 18 years,general pop,87,83,91,delta,delta,~48 weeks,,,
244,Sharma,Pfizer,2,final,14+,infection,infection,USA,veterans,veterans,25.3,21.8,28.7,,omicron,~42 weeks,,,
244,Sharma,Pfizer,2,final,14+,hospitalization,severe,USA,veterans,veterans,52.9,47.8,57.6,,omicron,~42 weeks,,,
244,Sharma,Pfizer,2,final,14+,death,death,USA,veterans,veterans,50.7,37.9,61.6,,omicron,~42 weeks,,,
244,Sharma,Moderna,2,final,14+,infection,infection,USA,veterans,veterans,39.5,35.8,43,,omicron,~42 weeks,,,
244,Sharma,Moderna,2,final,14+,hospitalization,severe,USA,veterans,veterans,66.7,61.4,71.6,,omicron,~42 weeks,,,
244,Sharma,Moderna,2,final,14+,death,death,USA,veterans,veterans,65.6,52.8,76.3,,omicron,~42 weeks,,,
246,Florentino,CoronaVac (Sinovac),2,final,14+,symptomatic disease,symptomatic,Brazil,6-11 years,6-11 years,39.8,33.7,45.4,,omicron,~12 weeks,,,
246,Florentino,CoronaVac (Sinovac),2,final,14+,hospitalization,severe,Brazil,6-11 years,6-11 years,59.2,11.3,84.5,,omicron,~12 weeks,,,
247,Kirsebom,AZD1222 (AstraZeneca),2,final,175+,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,8,6,9.9,omicron,omicron,~44.5 weeks,,,
247,Kirsebom,AZD1222 (AstraZeneca),2,final,175+,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,19.5,11.7,26.6,omicron,omicron,~44.5 weeks,,,
247,Kirsebom,AZD1222 (AstraZeneca),2,final,175+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,61,49.8,69.7,omicron,omicron,~44.5 weeks,,,
247,Kirsebom,AZD1222 (AstraZeneca),2,final,175+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,73.4,70.4,76.2,delta,delta,~44.5 weeks,,,
248,Carazo,Pfizer,2,final,7+,infection,infection,Canada,≥ 12 years,general pop,42,41,44,,omicron,~51 weeks,,,
248,Carazo,Pfizer,2,final,7+,hospitalization,severe,Canada,≥ 12 years,general pop,76,74,78,,omicron,~51 weeks,,,
248,Carazo,Pfizer,2,final,7+,infection,infection,Canada,≥ 12 years,general pop,23.2,21.2,27.4,,omicron,~51 weeks,,,
248,Carazo,Pfizer,2,final,7+,hospitalization,severe,Canada,≥ 12 years,general pop,68.4,63.6,73.5,,omicron,~51 weeks,,,
249,Ma,BBIBP-CorV (Beijing CNBG),2,final,14+,symptomatic disease,symptomatic,China,close contacts,close contacts,75.5,63,93.6,,delta,~8 weeks,,,
249,Ma,BBIBP-CorV (Beijing CNBG),2,final,14+,pneumonia,severe,China,close contacts,close contacts,56.5,-95.9,90.4,,delta,~8 weeks,,,
249,Ma,CoronaVac (Sinovac),2,final,14+,symptomatic disease,symptomatic,China,close contacts,close contacts,73,22.3,96,,delta,~8 weeks,,,
249,Ma,CoronaVac (Sinovac),2,final,14+,pneumonia,severe,China,close contacts,close contacts,84.6,18.8,97.1,,delta,~8 weeks,,,
249,Ma,Ad5-nCOV (CanSino),1,final,14+,symptomatic disease,symptomatic,China,close contacts,close contacts,61.5,9.5,83.6,,delta,~8 weeks,,,
249,Ma,Ad5-nCOV (CanSino),1,final,14+,pneumonia,severe,China,close contacts,close contacts,67.9,1.7,89.9,,delta,~8 weeks,,,
249,Ma,Ad5-nCOV (CanSino),1,final,14+,severe disease,severe,China,close contacts,close contacts,100,,,,delta,~8 weeks,,,
250,Rennert,Pfizer,2,final,14+,infection,infection,USA,students 18-64 years,students 18-64 years,2.1,-21.2,21,,omicron,~23 weeks,,,
250,Rennert,Moderna,2,final,14+,infection,infection,USA,students 18-64 years,students 18-64 years,17.3,-10.8,38.3,,omicron,~23 weeks,,,
250,Rennert,Pfizer,2,final,14+,infection,infection,USA,employees 18-65 years,employees 18-65 years,30.1,-24.5,60.8,,omicron,~23 weeks,,,
250,Rennert,Moderna,2,final,14+,infection,infection,USA,employees 18-65 years,employees 18-65 years,14.4,-64.2,55.4,,omicron,~23 weeks,,,
251,Simwanza,Janssen,1,final,14+,infection,infection,Zambia,≥ 18 years in a correctional facility,18+ years in a correctional facility,63.6,33.6,80.5,,omicron,~13 weeks,,,
251,Simwanza,Janssen,1,final,14+,symptomatic disease,symptomatic,Zambia,≥ 18 years in a correctional facility,18+ years in a correctional facility,73,41.6,87.7,,omicron,~13 weeks,,,
251,Simwanza,AZD1222 (AstraZeneca),2,final,14+,infection,infection,Zambia,≥ 18 years in a correctional facility,18+ years in a correctional facility,89.4,59.5,97.8,,omicron,~13 weeks,,,
251,Simwanza,AZD1222 (AstraZeneca),2,final,14+,symptomatic disease,symptomatic,Zambia,≥ 18 years in a correctional facility,18+ years in a correctional facility,85.1,19.5,98,,omicron,~13 weeks,,,
252,Zahradka,Pfizer,2,final,14+,infection,infection,Czech Republic,kidney transplant recipients,transplant recipients,45.6,12.4,67.6,,alpha,~12.5 weeks,,,
253,Martellucci,Pfizer,2,final,14+,infection,infection,Italy,≥ 18 years,general pop,24,23,25,,"alpha, delta, & omicron",~53 weeks,,,
253,Martellucci,Pfizer,2,final,14+,hospitalization,severe,Italy,≥ 18 years,general pop,86,84,88,,"alpha, delta, & omicron",~53 weeks,,,
